task,n,k,threads,schedule,chunk,trial,time
A,100000,28,4,dynamic,4,2,0.732474
A,100000,28,4,dynamic,4,3,0.703149
A,100000,28,4,dynamic,4,4,0.559431
A,100000,28,4,dynamic,4,5,0.583459
A,100000,28,4,dynamic,16,1,0.621714
A,100000,28,4,dynamic,16,2,0.638131
A,100000,28,4,dynamic,16,3,0.594069
A,100000,28,4,dynamic,16,4,0.657200
A,100000,28,4,dynamic,16,5,0.611630
A,100000,28,4,dynamic,64,1,0.614548
A,100000,28,4,dynamic,64,2,0.643291
A,100000,28,4,dynamic,64,3,0.554292
A,100000,28,4,dynamic,64,4,0.573051
A,100000,28,4,dynamic,64,5,0.635554
A,100000,28,4,guided,1,1,0.563978
A,100000,28,4,guided,1,2,0.606798
A,100000,28,4,guided,1,3,0.607427
A,100000,28,4,guided,1,4,0.599295
A,100000,28,4,guided,1,5,0.711710
A,100000,28,4,guided,4,1,0.679182
A,100000,28,4,guided,4,2,0.594075
A,100000,28,4,guided,4,3,0.551788
A,100000,28,4,guided,4,4,0.634318
A,100000,28,4,guided,4,5,0.595333
A,100000,28,4,guided,16,1,0.586073
A,100000,28,4,guided,16,2,0.592690
A,100000,28,4,guided,16,3,0.607440
A,100000,28,4,guided,16,4,0.631020
A,100000,28,4,guided,16,5,0.636092
A,100000,28,4,guided,64,1,0.559200
A,100000,28,4,guided,64,2,0.590726
A,100000,28,4,guided,64,3,0.642907
A,100000,28,4,guided,64,4,0.731049
A,100000,28,4,guided,64,5,0.592772
A,100000,28,8,static,auto,1,0.379795
A,100000,28,8,static,auto,2,0.418588
A,100000,28,8,static,auto,3,0.393596
A,100000,28,8,static,auto,4,0.380072
A,100000,28,8,static,auto,5,0.379908
A,100000,28,8,dynamic,1,1,0.353251
A,100000,28,8,dynamic,1,2,0.338192
A,100000,28,8,dynamic,1,3,0.355827
A,100000,28,8,dynamic,1,4,0.352514
A,100000,28,8,dynamic,1,5,0.355657
A,100000,28,8,dynamic,4,1,0.390635
A,100000,28,8,dynamic,4,2,0.379125
A,100000,28,8,dynamic,4,3,0.386842
A,100000,28,8,dynamic,4,4,0.389373
A,100000,28,8,dynamic,4,5,0.379369
A,100000,28,8,dynamic,16,1,0.391108
A,100000,28,8,dynamic,16,2,0.382649
A,100000,28,8,dynamic,16,3,0.356280
A,100000,28,8,dynamic,16,4,0.366018
A,100000,28,8,dynamic,16,5,0.384551
A,100000,28,8,dynamic,64,1,0.362548
A,100000,28,8,dynamic,64,2,0.366416
A,100000,28,8,dynamic,64,3,0.384660
A,100000,28,8,dynamic,64,4,0.359492
A,100000,28,8,dynamic,64,5,0.389207
A,100000,28,8,guided,1,1,0.382592
A,100000,28,8,guided,1,2,0.389600
A,100000,28,8,guided,1,3,0.415703
A,100000,28,8,guided,1,4,0.373620
A,100000,28,8,guided,1,5,0.419767
A,100000,28,8,guided,4,1,0.385874
A,100000,28,8,guided,4,2,0.371166
A,100000,28,8,guided,4,3,0.344557
A,100000,28,8,guided,4,4,0.351523
A,100000,28,8,guided,4,5,0.340567
A,100000,28,8,guided,16,1,0.376305
A,100000,28,8,guided,16,2,0.403172
A,100000,28,8,guided,16,3,0.407660
A,100000,28,8,guided,16,4,0.420301
A,100000,28,8,guided,16,5,0.397815
A,100000,28,8,guided,64,1,0.419377
A,100000,28,8,guided,64,2,0.403128
A,100000,28,8,guided,64,3,0.382044
A,100000,28,8,guided,64,4,0.396372
A,100000,28,8,guided,64,5,0.366526
A,100000,28,16,static,auto,1,0.346898
A,100000,28,16,static,auto,2,0.325821
